name,address,phone,email,rating,reviews,category,maps_url
"AUTO SITKO Rybnik / Mechanika pojazdowa, blacharstwo, serwis","Buchalików 36, 44-251 Rybnik",792 570 890,,"4,6",111,Mechanik samochodowy,"https://www.google.com/maps/place/AUTO+SITKO+Rybnik+%2F+Mechanika+pojazdowa,+blacharstwo,+serwis/data=!4m7!3m6!1s0x47114c10958e3c47:0x3e90487681295ae6!8m2!3d50.078159!4d18.6106464!16s%2Fg%2F11bwf83h7x!19sChIJRzyOlRBMEUcR5lopgXZIkD4?authuser=0&hl=pl&rclk=1"
Animar Marek Szczotok,"Wodzisławska 291A, 44-274 Rybnik",,,"4,8",47,Warsztat samochodowy,https://www.google.com/maps/place/Animar+Marek+Szczotok/data=!4m7!3m6!1s0x47114fb20f47ea59:0x94388bbd11f9eeee!8m2!3d50.055996!4d18.508439!16s%2Fg%2F11h6g19lqm!19sChIJWepHD7JPEUcR7u75Eb2LOJQ?authuser=0&hl=pl&rclk=1
Auto Misala - Daniel Misala,"Krucza 5, 44-203 Rybnik",32 422 42 28,,"4,6",344,Sklep samochodowy,https://www.google.com/maps/place/Auto+Misala+-+Daniel+Misala/data=!4m7!3m6!1s0x47114936018fc091:0xcc432dbc3752b20c!8m2!3d50.1037144!4d18.5789063!16s%2Fg%2F1tggs7pt!19sChIJkcCPATZJEUcRDLJSN7wtQ8w?authuser=0&hl=pl&rclk=1
Auto Nazar Serwis,"Gliwicka 187, 44-207 Rybnik",576 306 753,,,,Warsztat samochodowy,https://www.google.com/maps/place/Auto+Nazar+Serwis/data=!4m7!3m6!1s0x47114994cf713d4d:0xeb270130e60c2e85!8m2!3d50.1341183!4d18.5492495!16s%2Fg%2F11x_7106nm!19sChIJTT1xz5RJEUcRhS4M5jABJ-s?authuser=0&hl=pl&rclk=1
Auto Punkt - Mechanika & Detailing Rybnik,"Raciborska 252, 44-273 Rybnik",500 169 133,,"4,8",102,Mechanik samochodowy,https://www.google.com/maps/place/Auto+Punkt+-+Mechanika+%26+Detailing+Rybnik/data=!4m7!3m6!1s0x47114588be096d99:0x702effd68840795a!8m2!3d50.0810047!4d18.4593455!16s%2Fg%2F11jr2s1_mc!19sChIJmW0JvohFEUcRWnlAiNb_LnA?authuser=0&hl=pl&rclk=1
Auto Serwis Dzierżawa Marcin,"Sadowa 12, 44-203 Rybnik",,,"4,9",50,Mechanik samochodowy,https://www.google.com/maps/place/Auto+Serwis+Dzier%C5%BCawa+Marcin/data=!4m7!3m6!1s0x471149fdb06d5f1d:0xfd6b5ec921a9c806!8m2!3d50.1011496!4d18.5861771!16s%2Fg%2F11pwcljdpq!19sChIJHV9tsP1JEUcRBsipIclea_0?authuser=0&hl=pl&rclk=1
Auto Serwis Paweł Michalak,"Wronia 34, 44-203 Rybnik",731 169 904,,"4,5",423,Mechanik samochodowy,https://www.google.com/maps/place/Auto+Serwis+Pawe%C5%82+Michalak/data=!4m7!3m6!1s0x471149b64cd83bf5:0x3310b14216836259!8m2!3d50.1052205!4d18.5828014!16s%2Fg%2F11h1mhmwfd!19sChIJ9TvYTLZJEUcRWWKDFkKxEDM?authuser=0&hl=pl&rclk=1
Auto-Diagnostyka. Szymura P.,"Raciborska 80, 44-200 Rybnik",503 194 080,,"4,6",84,Warsztat samochodowy,https://www.google.com/maps/place/Auto-Diagnostyka.+Szymura+P./data=!4m7!3m6!1s0x47114f245634127d:0xd54df9300846135f!8m2!3d50.0922318!4d18.526199!16s%2Fg%2F1ptw692_7!19sChIJfRI0ViRPEUcRXxNGCDD5TdU?authuser=0&hl=pl&rclk=1
Auto-Perfekt. Autoryzowany serwis antykorozyjny i antykradzieżowy. Szromek M.,"Topolowa 21, 44-200 Rybnik",32 424 43 46,,"4,2",5,Salon samochodowy,https://www.google.com/maps/place/Auto-Perfekt.+Autoryzowany+serwis+antykorozyjny+i+antykradzie%C5%BCowy.+Szromek+M./data=!4m7!3m6!1s0x47114f3348c9714f:0x486b1f3b15eb8fc7!8m2!3d50.1059259!4d18.527302!16s%2Fg%2F1w6r6_p0!19sChIJT3HJSDNPEUcRx4_rFTsfa0g?authuser=0&hl=pl&rclk=1
Auto-Service Dawid Holona Marcin Rak,"Walentego Pełczyńskiego 6, 44-200 Rybnik",503 192 941,,"4,3",31,Mechanik samochodowy,https://www.google.com/maps/place/Auto-Service+Dawid+Holona+Marcin+Rak/data=!4m7!3m6!1s0x47114f3f7f2a492b:0xb4f4fda673888214!8m2!3d50.0838585!4d18.5303102!16s%2Fg%2F11wfcjjq82!19sChIJK0kqfz9PEUcRFIKIc6b99LQ?authuser=0&hl=pl&rclk=1
